game_id,python_outcome,rust_outcome,python_reason,rust_reason,match,category
26822,ok,ok,,,True,both_ok
26823,ok,ok,,,True,both_ok
26825,ok,ok,,,True,both_ok
26826,ok,ok,,,True,both_ok
26827,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26828,ok,ok,,,True,both_ok
26829,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26830,ok,ok,,,True,both_ok
26831,ok,ok,,,True,both_ok
26835,ok,ok,,,True,both_ok
26836,ok,ok,,,True,both_ok
26837,ok,ok,,,True,both_ok
26838,ok,ok,,,True,both_ok
26839,ok,ok,,,True,both_ok
26840,ok,ok,,,True,both_ok
26841,ok,ok,,,True,both_ok
26843,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26844,ok,ok,,,True,both_ok
26845,dropped,dropped,mh_out_of_turn,mh_out_of_turn,True,both_dropped_same_reason
26846,dropped,dropped,company_tile_lay_outside_or,company_tile_lay_outside_or,True,both_dropped_same_reason
26847,ok,ok,,,True,both_ok
26852,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26854,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26855,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26856,ok,ok,,,True,both_ok
26857,ok,ok,,,True,both_ok
26858,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26859,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26860,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26861,ok,ok,,,True,both_ok
26862,ok,ok,,,True,both_ok
26863,ok,ok,,,True,both_ok
26866,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26869,ok,ok,,,True,both_ok
26873,ok,ok,,,True,both_ok
26874,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26877,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26878,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26879,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26880,ok,ok,,,True,both_ok
26881,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26882,ok,ok,,,True,both_ok
26883,ok,ok,,,True,both_ok
26887,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26890,ok,ok,,,True,both_ok
26891,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26893,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26896,ok,ok,,,True,both_ok
26897,ok,ok,,,True,both_ok
26898,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26903,ok,ok,,,True,both_ok
26905,ok,ok,,,True,both_ok
26908,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26909,ok,ok,,,True,both_ok
26911,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26915,ok,ok,,,True,both_ok
26919,ok,ok,,,True,both_ok
26921,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26926,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26929,ok,ok,,,True,both_ok
26932,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26933,ok,ok,,,True,both_ok
26934,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26945,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26947,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26949,ok,ok,,,True,both_ok
26957,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26960,ok,ok,,,True,both_ok
26963,ok,ok,,,True,both_ok
26965,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26972,ok,ok,,,True,both_ok
26974,ok,ok,,,True,both_ok
26975,ok,ok,,,True,both_ok
26983,ok,ok,,,True,both_ok
26987,ok,ok,,,True,both_ok
26988,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
26989,ok,ok,,,True,both_ok
26990,ok,ok,,,True,both_ok
26991,ok,ok,,,True,both_ok
26993,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
26998,ok,ok,,,True,both_ok
27002,ok,ok,,,True,both_ok
27009,ok,ok,,,True,both_ok
27010,ok,ok,,,True,both_ok
27014,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
27020,ok,ok,,,True,both_ok
27022,ok,ok,,,True,both_ok
27027,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
27030,ok,ok,,,True,both_ok
27032,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
27033,ok,ok,,,True,both_ok
27049,ok,ok,,,True,both_ok
27054,ok,ok,,,True,both_ok
27131,ok,ok,,,True,both_ok
27140,ok,ok,,,True,both_ok
27143,skip_not_finished,skip_not_finished,archived,archived,True,skip_not_finished
27146,ok,ok,,,True,both_ok
27151,ok,ok,,,True,both_ok
27178,skip_not_finished,skip_not_finished,active,active,True,skip_not_finished
27180,ok,ok,,,True,both_ok
