game_id,status,detail
26822,PERFECT,18 actions matched
26823,PERFECT,374 actions matched
26825,PERFECT,489 actions matched
26826,PERFECT,882 actions matched
26827,DROPPED,not_finished (game status: archived)
26828,PERFECT,761 actions matched
26829,DROPPED,not_finished (game status: archived)
26830,PERFECT,399 actions matched
26831,PERFECT,660 actions matched
26835,PERFECT,395 actions matched
26836,PERFECT,386 actions matched
26837,PERFECT,880 actions matched
26838,PERFECT,669 actions matched
26839,PERFECT,489 actions matched
26840,PERFECT,0 actions matched
26841,PERFECT,75 actions matched
26843,DROPPED,not_finished (game status: archived)
26844,PERFECT,900 actions matched
26845,DROPPED,filtered by cleaning
26846,DROPPED,filtered by cleaning
26847,PERFECT,844 actions matched
26852,DROPPED,not_finished (game status: archived)
26854,DROPPED,not_finished (game status: active)
26855,DROPPED,not_finished (game status: archived)
26856,PERFECT,878 actions matched
26857,PERFECT,808 actions matched
26858,DROPPED,not_finished (game status: archived)
26859,DROPPED,not_finished (game status: archived)
26860,DROPPED,not_finished (game status: archived)
26861,PERFECT,797 actions matched
26862,PERFECT,922 actions matched
26863,PERFECT,702 actions matched
26866,DROPPED,not_finished (game status: active)
26869,PERFECT,556 actions matched
26873,PERFECT,448 actions matched
26874,DROPPED,not_finished (game status: active)
26877,DROPPED,not_finished (game status: active)
26878,DROPPED,not_finished (game status: active)
26879,DROPPED,not_finished (game status: active)
26880,PERFECT,896 actions matched
26881,DROPPED,not_finished (game status: archived)
26882,PERFECT,483 actions matched
26883,PERFECT,466 actions matched
26887,DROPPED,not_finished (game status: active)
26890,PERFECT,795 actions matched
26891,DROPPED,not_finished (game status: archived)
26893,DROPPED,not_finished (game status: archived)
26896,PERFECT,514 actions matched
26897,PERFECT,745 actions matched
26898,DROPPED,not_finished (game status: archived)
26903,PERFECT,598 actions matched
26905,PERFECT,460 actions matched
26908,DROPPED,not_finished (game status: active)
26909,PERFECT,973 actions matched
26911,DROPPED,not_finished (game status: active)
26915,PERFECT,744 actions matched
26919,PERFECT,1 actions matched
26921,DROPPED,not_finished (game status: active)
26926,DROPPED,not_finished (game status: active)
26929,PERFECT,782 actions matched
26932,DROPPED,not_finished (game status: archived)
26933,PERFECT,380 actions matched
26934,DROPPED,not_finished (game status: archived)
26945,DROPPED,not_finished (game status: active)
26947,DROPPED,not_finished (game status: archived)
26949,PERFECT,858 actions matched
26957,DROPPED,not_finished (game status: active)
26960,PERFECT,755 actions matched
26963,PERFECT,457 actions matched
26965,DROPPED,not_finished (game status: archived)
26972,PERFECT,374 actions matched
26974,PERFECT,342 actions matched
26975,PERFECT,771 actions matched
26983,PERFECT,0 actions matched
26987,PERFECT,983 actions matched
26988,DROPPED,not_finished (game status: active)
26989,PERFECT,444 actions matched
26990,PERFECT,1069 actions matched
26991,PERFECT,488 actions matched
26993,DROPPED,not_finished (game status: archived)
26998,PERFECT,840 actions matched
27002,PERFECT,1 actions matched
27009,PERFECT,932 actions matched
27010,PERFECT,534 actions matched
27014,DROPPED,not_finished (game status: active)
27020,PERFECT,782 actions matched
27022,PERFECT,31 actions matched
27027,DROPPED,not_finished (game status: active)
27030,PERFECT,790 actions matched
27032,DROPPED,not_finished (game status: archived)
27033,PERFECT,754 actions matched
27049,PERFECT,341 actions matched
27054,PERFECT,476 actions matched
27131,PERFECT,471 actions matched
27140,PERFECT,809 actions matched
27143,DROPPED,not_finished (game status: archived)
27146,PERFECT,506 actions matched
27151,PERFECT,797 actions matched
27178,DROPPED,not_finished (game status: active)
27180,PERFECT,717 actions matched
27182,PERFECT,390 actions matched
27189,DROPPED,not_finished (game status: active)
27192,PERFECT,531 actions matched
