game_id,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
26823,dropped,0,0,,,,illegal_share_buy,
26826,perfect,882,882,,,,,
26831,perfect,660,660,,,,,
26835,perfect,395,395,,,,,
26836,perfect,386,386,,,,,
26837,perfect,880,880,,,,,
26844,perfect,900,900,,,,,
26847,perfect,844,844,,,,,
26857,perfect,808,808,,,,,
26861,perfect,797,797,,,,,
26873,perfect,448,448,,,,,
26880,perfect,896,896,,,,,
26897,perfect,745,745,,,,,
26903,perfect,598,598,,,,,
26909,perfect,973,973,,,,,
26915,dropped,0,0,,,,illegal_share_buy,
26929,perfect,782,782,,,,,
26972,perfect,374,374,,,,,
26989,perfect,444,444,,,,,
26990,perfect,1069,1069,,,,,
26998,perfect,840,840,,,,,
27009,perfect,932,932,,,,,
27020,perfect,782,782,,,,,
27033,perfect,754,754,,,,,
27131,perfect,471,471,,,,,
27151,perfect,797,797,,,,,
27182,perfect,390,390,,,,,
27225,perfect,760,760,,,,,
27334,perfect,397,397,,,,,
27382,perfect,375,375,,,,,
27393,perfect,411,411,,,,,
27402,perfect,408,408,,,,,
27482,perfect,790,790,,,,,
27491,perfect,843,843,,,,,
27494,dropped,0,0,,,,illegal_share_buy,
27549,dropped,0,0,,,,illegal_share_buy,
27598,perfect,781,781,,,,,
27673,perfect,806,806,,,,,
27686,perfect,511,511,,,,,
27797,perfect,878,878,,,,,
27817,perfect,865,865,,,,,
27862,perfect,881,881,,,,,
27869,perfect,809,809,,,,,
27882,perfect,700,700,,,,,
28038,perfect,418,418,,,,,
28150,dropped,0,0,,,,illegal_share_buy,
28171,perfect,820,820,,,,,
28211,perfect,478,478,,,,,
28218,perfect,798,798,,,,,
28489,perfect,808,808,,,,,
28529,dropped,0,0,,,,illegal_share_buy,
28557,perfect,386,386,,,,,
28576,perfect,466,466,,,,,
28615,perfect,791,791,,,,,
28897,dropped,0,0,,,,cross_president_buy_train,
28923,perfect,731,731,,,,,
29072,perfect,613,613,,,,,
29133,perfect,348,348,,,,,
29232,perfect,335,335,,,,,
29233,perfect,469,469,,,,,
29238,perfect,447,447,,,,,
29275,perfect,579,579,,,,,
29329,perfect,329,329,,,,,
29491,perfect,350,350,,,,,
29525,perfect,796,796,,,,,
29727,perfect,537,537,,,,,
29774,perfect,789,789,,,,,
29796,perfect,882,882,,,,,
29820,perfect,464,464,,,,,
29928,perfect,834,834,,,,,
29961,perfect,834,834,,,,,
29998,perfect,384,384,,,,,
30008,perfect,789,789,,,,,
30016,perfect,754,754,,,,,
30045,perfect,655,655,,,,,
30067,perfect,551,551,,,,,
30187,perfect,509,509,,,,,
30286,perfect,358,358,,,,,
30325,perfect,505,505,,,,,
30453,perfect,418,418,,,,,
30532,perfect,725,725,,,,,
30545,perfect,374,374,,,,,
30553,perfect,382,382,,,,,
30567,perfect,455,455,,,,,
30574,perfect,416,416,,,,,
30582,perfect,371,371,,,,,
30585,dropped,0,0,,,,illegal_share_buy,
30593,perfect,767,767,,,,,
30605,perfect,482,482,,,,,
30617,perfect,448,448,,,,,
30619,perfect,447,447,,,,,
30624,perfect,326,326,,,,,
30625,perfect,416,416,,,,,
30633,perfect,350,350,,,,,
30636,perfect,275,275,,,,,
30707,dropped,0,0,,,,mh_out_of_turn,
30743,perfect,392,392,,,,,
30744,perfect,307,307,,,,,
30776,perfect,390,390,,,,,
30907,perfect,481,481,,,,,
30912,perfect,510,510,,,,,
30939,perfect,410,410,,,,,
31333,perfect,786,786,,,,,
31342,perfect,531,531,,,,,
31368,perfect,843,843,,,,,
31400,perfect,511,511,,,,,
31405,perfect,339,339,,,,,
31664,perfect,417,417,,,,,
31701,perfect,444,444,,,,,
31777,perfect,761,761,,,,,
31850,perfect,455,455,,,,,
31929,perfect,413,413,,,,,
31949,perfect,655,655,,,,,
32034,perfect,472,472,,,,,
32049,dropped,0,0,,,,illegal_share_buy,
32313,perfect,381,381,,,,,
33526,dropped,0,0,,,,illegal_share_buy,
33625,perfect,397,397,,,,,
33672,perfect,857,857,,,,,
35124,perfect,740,740,,,,,
35148,dropped,0,0,,,,cross_president_buy_train,
35286,perfect,414,414,,,,,
35306,perfect,748,748,,,,,
35415,perfect,942,942,,,,,
35417,dropped,0,0,,,,illegal_share_buy,
35576,perfect,780,780,,,,,
35589,perfect,493,493,,,,,
35654,perfect,779,779,,,,,
35666,perfect,775,775,,,,,
35736,perfect,446,446,,,,,
35894,dropped,0,0,,,,illegal_share_buy,
36182,perfect,769,769,,,,,
36502,dropped,0,0,,,,illegal_share_buy,
36551,perfect,745,745,,,,,
36594,perfect,437,437,,,,,
36616,perfect,957,957,,,,,
36642,perfect,855,855,,,,,
36659,perfect,414,414,,,,,
36712,perfect,821,821,,,,,
36727,perfect,522,522,,,,,
36914,perfect,385,385,,,,,
36916,dropped,0,0,,,,mh_out_of_turn,
37185,perfect,760,760,,,,,
37302,perfect,408,408,,,,,
37359,perfect,407,407,,,,,
37366,dropped,0,0,,,,illegal_share_buy,
37371,perfect,477,477,,,,,
37377,perfect,701,701,,,,,
37403,perfect,936,936,,,,,
37528,perfect,848,848,,,,,
37536,perfect,653,653,,,,,
37541,perfect,797,797,,,,,
37711,perfect,731,731,,,,,
37768,perfect,876,876,,,,,
37774,perfect,797,797,,,,,
37829,perfect,936,936,,,,,
38084,perfect,676,676,,,,,
38165,perfect,785,785,,,,,
38206,perfect,804,804,,,,,
38226,perfect,360,360,,,,,
38330,perfect,762,762,,,,,
38416,perfect,773,773,,,,,
38442,perfect,986,986,,,,,
38445,perfect,783,783,,,,,
38469,perfect,473,473,,,,,
38560,perfect,469,469,,,,,
38588,dropped,0,0,,,,illegal_share_buy,
38604,perfect,754,754,,,,,
38642,perfect,739,739,,,,,
38701,perfect,910,910,,,,,
38741,perfect,445,445,,,,,
38781,perfect,415,415,,,,,
39065,perfect,894,894,,,,,
39115,perfect,749,749,,,,,
39124,dropped,0,0,,,,mh_out_of_turn,
39177,perfect,943,943,,,,,
39180,perfect,430,430,,,,,
39204,perfect,956,956,,,,,
39260,perfect,926,926,,,,,
39304,perfect,394,394,,,,,
39315,perfect,339,339,,,,,
39350,dropped,0,0,,,,cross_president_buy_train,
39438,perfect,359,359,,,,,
39485,perfect,332,332,,,,,
39543,dropped,0,0,,,,cross_president_buy_train,
39584,perfect,861,861,,,,,
39693,perfect,237,237,,,,,
39792,perfect,858,858,,,,,
39863,dropped,0,0,,,,cross_president_buy_train,
39916,perfect,428,428,,,,,
40074,dropped,0,0,,,,optional_rules,
40081,perfect,444,444,,,,,
40212,perfect,941,941,,,,,
40224,perfect,939,939,,,,,
40370,dropped,0,0,,,,cross_player_buy_company,
40423,perfect,911,911,,,,,
40721,perfect,824,824,,,,,
40734,perfect,932,932,,,,,
40847,perfect,549,549,,,,,
40862,perfect,983,983,,,,,
40870,perfect,815,815,,,,,
40892,perfect,482,482,,,,,
40895,perfect,449,449,,,,,
40930,dropped,0,0,,,,illegal_share_buy,
41039,perfect,880,880,,,,,
41059,perfect,731,731,,,,,
41084,dropped,0,0,,,,illegal_share_buy,
41124,perfect,855,855,,,,,
41190,perfect,870,870,,,,,
41274,dropped,0,0,,,,cross_player_buy_company,
41307,perfect,778,778,,,,,
41372,dropped,0,0,,,,cross_president_buy_train,
41530,perfect,558,558,,,,,
41788,perfect,759,759,,,,,
41808,perfect,499,499,,,,,
41832,perfect,738,738,,,,,
41952,perfect,577,577,,,,,
42064,dropped,0,0,,,,illegal_share_buy,
42069,perfect,411,411,,,,,
42173,perfect,867,867,,,,,
42266,perfect,808,808,,,,,
42305,perfect,807,807,,,,,
42470,dropped,0,0,,,,cross_player_buy_company,
42504,perfect,414,414,,,,,
42562,perfect,876,876,,,,,
42563,perfect,866,866,,,,,
42564,perfect,355,355,,,,,
42565,perfect,878,878,,,,,
42566,perfect,789,789,,,,,
42567,perfect,797,797,,,,,
42568,perfect,382,382,,,,,
42569,perfect,859,859,,,,,
42570,perfect,353,353,,,,,
42571,perfect,779,779,,,,,
42572,perfect,945,945,,,,,
42573,perfect,542,542,,,,,
42575,perfect,887,887,,,,,
42576,perfect,840,840,,,,,
42577,perfect,797,797,,,,,
42578,perfect,532,532,,,,,
42581,perfect,950,950,,,,,
42586,perfect,714,714,,,,,
42587,perfect,954,954,,,,,
42588,perfect,368,368,,,,,
42589,perfect,783,783,,,,,
42590,perfect,873,873,,,,,
42591,perfect,497,497,,,,,
42592,perfect,490,490,,,,,
42593,perfect,928,928,,,,,
42594,perfect,1028,1028,,,,,
42597,perfect,420,420,,,,,
42598,perfect,825,825,,,,,
42599,perfect,830,830,,,,,
42600,perfect,761,761,,,,,
42601,perfect,414,414,,,,,
42604,perfect,496,496,,,,,
42605,perfect,434,434,,,,,
42606,perfect,362,362,,,,,
42607,perfect,461,461,,,,,
42608,perfect,490,490,,,,,
42611,perfect,743,743,,,,,
42613,perfect,896,896,,,,,
42614,perfect,989,989,,,,,
42615,perfect,857,857,,,,,
42616,perfect,741,741,,,,,
42617,perfect,818,818,,,,,
42618,perfect,806,806,,,,,
42619,perfect,853,853,,,,,
42620,perfect,717,717,,,,,
42621,perfect,843,843,,,,,
42622,perfect,407,407,,,,,
42623,perfect,792,792,,,,,
42624,perfect,771,771,,,,,
42625,perfect,810,810,,,,,
42626,perfect,810,810,,,,,
42627,perfect,740,740,,,,,
42628,perfect,789,789,,,,,
42629,perfect,688,688,,,,,
42630,perfect,392,392,,,,,
42631,perfect,800,800,,,,,
42632,perfect,396,396,,,,,
42633,perfect,791,791,,,,,
42634,perfect,426,426,,,,,
42635,perfect,474,474,,,,,
42636,perfect,884,884,,,,,
42637,perfect,869,869,,,,,
42638,perfect,441,441,,,,,
42639,perfect,396,396,,,,,
42643,perfect,467,467,,,,,
42644,perfect,782,782,,,,,
42646,perfect,622,622,,,,,
42647,perfect,792,792,,,,,
42648,perfect,755,755,,,,,
42649,perfect,779,779,,,,,
42650,perfect,887,887,,,,,
42652,perfect,795,795,,,,,
42654,dropped,0,0,,,,illegal_share_buy,
42655,perfect,472,472,,,,,
42657,perfect,415,415,,,,,
42660,perfect,984,984,,,,,
42661,perfect,423,423,,,,,
42662,perfect,799,799,,,,,
42663,perfect,829,829,,,,,
42664,perfect,867,867,,,,,
42665,perfect,453,453,,,,,
42666,perfect,508,508,,,,,
42667,perfect,701,701,,,,,
42668,perfect,740,740,,,,,
42669,perfect,697,697,,,,,
42670,perfect,370,370,,,,,
42671,perfect,845,845,,,,,
42672,dropped,0,0,,,,illegal_share_buy,
42673,perfect,776,776,,,,,
42674,perfect,906,906,,,,,
42675,perfect,885,885,,,,,
42676,perfect,428,428,,,,,
42677,perfect,867,867,,,,,
42678,perfect,496,496,,,,,
42679,dropped,0,0,,,,illegal_share_buy,
42680,perfect,728,728,,,,,
42681,perfect,818,818,,,,,
42682,perfect,852,852,,,,,
42683,perfect,723,723,,,,,
42684,perfect,850,850,,,,,
42685,perfect,777,777,,,,,
42686,perfect,794,794,,,,,
42687,dropped,0,0,,,,illegal_share_buy,
42688,perfect,697,697,,,,,
42689,dropped,0,0,,,,illegal_share_buy,
42690,perfect,459,459,,,,,
42691,perfect,895,895,,,,,
42692,perfect,814,814,,,,,
42693,perfect,791,791,,,,,
42694,perfect,430,430,,,,,
42695,perfect,844,844,,,,,
42696,perfect,496,496,,,,,
42697,perfect,884,884,,,,,
42698,perfect,703,703,,,,,
42700,perfect,798,798,,,,,
42701,perfect,421,421,,,,,
42702,dropped,0,0,,,,cross_president_buy_train,
42703,perfect,874,874,,,,,
42704,perfect,842,842,,,,,
42705,perfect,351,351,,,,,
42706,dropped,0,0,,,,illegal_share_buy,
42707,perfect,574,574,,,,,
42709,perfect,698,698,,,,,
42710,perfect,581,581,,,,,
42711,perfect,850,850,,,,,
42712,perfect,863,863,,,,,
42713,perfect,842,842,,,,,
42714,perfect,681,681,,,,,
42715,perfect,686,686,,,,,
42716,perfect,459,459,,,,,
42717,perfect,800,800,,,,,
42718,perfect,337,337,,,,,
42719,perfect,457,457,,,,,
42720,perfect,499,499,,,,,
42790,perfect,891,891,,,,,
42940,perfect,341,341,,,,,
42986,perfect,887,887,,,,,
42997,perfect,1056,1056,,,,,
43042,dropped,0,0,,,,mh_out_of_turn,
43732,perfect,939,939,,,,,
43771,perfect,871,871,,,,,
43831,perfect,759,759,,,,,
43863,perfect,788,788,,,,,
43902,perfect,835,835,,,,,
44058,perfect,805,805,,,,,
44059,perfect,508,508,,,,,
44060,perfect,827,827,,,,,
44061,perfect,326,326,,,,,
44062,perfect,833,833,,,,,
44063,dropped,0,0,,,,illegal_share_buy,
