game_id,num_players,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
70706,4,perfect,464,464,,,,,
27382,4,perfect,375,375,,,,,
27240,3,perfect,275,275,,,,,
42098,6,perfect,691,691,,,,,
58766,3,perfect,712,712,,,,,
65922,4,dropped,0,0,,,,illegal_share_buy,
82647,4,perfect,808,808,,,,,
40392,6,perfect,486,486,,,,,
57479,4,dropped,0,0,,,,illegal_share_buy,
37359,4,perfect,407,407,,,,,
43976,3,perfect,714,714,,,,,
54480,4,perfect,466,466,,,,,
27882,4,perfect,700,700,,,,,
82628,4,perfect,525,525,,,,,
70679,4,perfect,816,816,,,,,
35576,4,perfect,780,780,,,,,
40423,4,perfect,911,911,,,,,
38701,4,perfect,910,910,,,,,
42611,4,perfect,743,743,,,,,
42576,4,perfect,840,840,,,,,
65567,4,perfect,532,532,,,,,
56857,4,perfect,798,798,,,,,
44073,4,perfect,906,906,,,,,
41696,5,perfect,742,742,,,,,
54333,3,perfect,380,380,,,,,
70725,4,perfect,750,750,,,,,
29941,3,perfect,826,826,,,,,
67036,5,perfect,941,941,,,,,
42649,4,perfect,779,779,,,,,
80745,3,dropped,0,0,,,,illegal_share_buy,
59207,3,dropped,0,0,,,,illegal_share_buy,
82603,4,perfect,786,786,,,,,
78613,4,dropped,0,0,,,,illegal_share_buy,
74277,3,perfect,467,467,,,,,
63696,4,perfect,404,404,,,,,
70414,4,perfect,773,773,,,,,
65645,4,dropped,0,0,,,,illegal_share_buy,
53643,3,perfect,758,758,,,,,
45451,3,perfect,686,686,,,,,
26990,4,perfect,1069,1069,,,,,
49455,4,perfect,797,797,,,,,
29525,4,perfect,796,796,,,,,
82657,4,perfect,519,519,,,,,
55338,4,perfect,458,458,,,,,
65554,6,perfect,872,872,,,,,
51501,3,perfect,903,903,,,,,
44060,4,perfect,827,827,,,,,
39065,4,perfect,894,894,,,,,
40172,5,dropped,0,0,,,,illegal_share_buy,
65764,4,perfect,928,928,,,,,
55610,4,dropped,0,0,,,,illegal_share_buy,
51247,3,perfect,459,459,,,,,
85621,4,perfect,885,885,,,,,
82572,4,perfect,900,900,,,,,
66085,5,perfect,734,734,,,,,
67209,4,perfect,594,594,,,,,
28897,4,dropped,0,0,,,,cross_president_buy_train,
31400,4,perfect,511,511,,,,,
76140,4,perfect,536,536,,,,,
83665,4,perfect,892,892,,,,,
67931,4,perfect,490,490,,,,,
67096,4,perfect,732,732,,,,,
44072,4,perfect,952,952,,,,,
61520,4,perfect,563,563,,,,,
26846,6,cleaning_error,0,0,,,,,"GameError: Blocking step Sell/Buy/Sell Shares cannot process action Type: LayTile, id: 241, entity: <Company: CS>, hex: [<Hex: B20, tile: town>], tile: [<Tile: 4, hex: None>, rotation: [1]"
29233,4,perfect,469,469,,,,,
84528,4,perfect,329,329,,,,,
30907,4,perfect,481,481,,,,,
27547,3,perfect,836,836,,,,,
72872,4,perfect,841,841,,,,,
70644,4,perfect,684,684,,,,,
66526,5,perfect,822,822,,,,,
44059,4,perfect,508,508,,,,,
81096,2,perfect,732,732,,,,,
74984,4,perfect,455,455,,,,,
61483,4,perfect,491,491,,,,,
42677,4,perfect,867,867,,,,,
61551,6,perfect,564,564,,,,,
60115,4,perfect,608,608,,,,,
77992,4,perfect,409,409,,,,,
70870,4,perfect,825,825,,,,,
81340,5,perfect,468,468,,,,,
55031,6,perfect,590,590,,,,,
37802,3,perfect,935,935,,,,,
65640,5,perfect,574,574,,,,,
79795,4,perfect,891,891,,,,,
64673,5,perfect,399,399,,,,,
70681,4,perfect,411,411,,,,,
57975,4,perfect,461,461,,,,,
70586,3,perfect,954,954,,,,,
42685,4,perfect,777,777,,,,,
60950,4,perfect,883,883,,,,,
82663,4,perfect,855,855,,,,,
29168,5,perfect,376,376,,,,,
42637,4,perfect,869,869,,,,,
60910,4,dropped,0,0,,,,cross_president_buy_train,
67246,5,perfect,450,450,,,,,
44063,4,dropped,0,0,,,,illegal_share_buy,
85173,5,perfect,477,477,,,,,
57652,6,perfect,498,498,,,,,
30553,4,perfect,382,382,,,,,
81582,6,perfect,485,485,,,,,
82593,4,perfect,327,327,,,,,
29317,3,dropped,0,0,,,,illegal_share_buy,
81891,4,perfect,914,914,,,,,
56188,4,perfect,830,830,,,,,
54156,4,dropped,0,0,,,,mis_attributed_corp_action,
70683,4,perfect,512,512,,,,,
46969,4,perfect,356,356,,,,,
76838,4,perfect,847,847,,,,,
51116,4,perfect,771,771,,,,,
79053,3,perfect,614,614,,,,,
70731,4,dropped,0,0,,,,illegal_share_buy,
66692,6,dropped,0,0,,,,cross_player_buy_company,
37787,5,perfect,526,526,,,,,
35306,4,perfect,748,748,,,,,
60855,6,perfect,879,879,,,,,
77789,4,perfect,733,733,,,,,
42669,4,perfect,697,697,,,,,
85171,4,perfect,441,441,,,,,
26836,4,perfect,386,386,,,,,
53607,4,perfect,494,494,,,,,
68265,6,perfect,719,719,,,,,
49451,4,dropped,0,0,,,,illegal_share_buy,
69420,3,perfect,839,839,,,,,
79503,4,dropped,0,0,,,,illegal_share_buy,
30453,4,perfect,418,418,,,,,
41266,6,perfect,416,416,,,,,
43267,6,perfect,885,885,,,,,
70685,4,perfect,489,489,,,,,
52885,4,dropped,0,0,,,,cross_player_buy_company,
60419,5,dropped,0,0,,,,illegal_share_buy,
52963,4,perfect,495,495,,,,,
30624,4,perfect,326,326,,,,,
82133,2,dropped,0,0,,,,illegal_share_buy,
47058,4,perfect,814,814,,,,,
64040,4,perfect,984,984,,,,,
61937,3,perfect,762,762,,,,,
72483,4,perfect,744,744,,,,,
42682,4,perfect,852,852,,,,,
65604,4,dropped,0,0,,,,mh_out_of_turn,
27223,6,dropped,0,0,,,,cross_player_buy_company,
67035,4,perfect,741,741,,,,,
44075,4,perfect,809,809,,,,,
82419,4,perfect,435,435,,,,,
55735,5,perfect,923,923,,,,,
71606,4,perfect,344,344,,,,,
69560,4,perfect,479,479,,,,,
79469,4,perfect,728,728,,,,,
42684,4,perfect,850,850,,,,,
42575,4,perfect,887,887,,,,,
26880,4,perfect,896,896,,,,,
76931,4,perfect,509,509,,,,,
82656,4,dropped,0,0,,,,illegal_share_buy,
29728,3,perfect,437,437,,,,,
35736,4,perfect,446,446,,,,,
82608,4,perfect,720,720,,,,,
79554,5,perfect,538,538,,,,,
49679,4,perfect,485,485,,,,,
39824,5,dropped,0,0,,,,cross_player_buy_company,
41612,5,perfect,565,565,,,,,
79377,4,dropped,0,0,,,,illegal_share_buy,
55222,4,perfect,871,871,,,,,
